Kokoro Tensors Count: 459
dec.gen.resblocks.3.adain2.1.bias | Float32 | dims=[256]
dec.gen.resblocks.3.adain2.1.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.3.adain2.2.bias | Float32 | dims=[256]
dec.gen.resblocks.3.adain2.2.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.3.alpha1.0 | Float16 | dims=[1,128]
dec.gen.resblocks.3.alpha1.1 | Float16 | dims=[1,128]
dec.gen.resblocks.3.alpha1.2 | Float16 | dims=[1,128]
dec.gen.resblocks.3.alpha2.0 | Float16 | dims=[1,128]
dec.gen.resblocks.3.alpha2.1 | Float16 | dims=[1,128]
dec.gen.resblocks.3.alpha2.2 | Float16 | dims=[1,128]
dec.gen.resblocks.3.convs1.0.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs1.0.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.3.convs1.1.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs1.1.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.3.convs1.2.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs1.2.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.3.convs2.0.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs2.0.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.3.convs2.1.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs2.1.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.3.convs2.2.bias | Float32 | dims=[128]
dec.gen.resblocks.3.convs2.2.weight | Float16 | dims=[3,128,128]
dec.gen.resblocks.4.adain1.0.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain1.0.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.adain1.1.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain1.1.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.adain1.2.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain1.2.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.adain2.0.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain2.0.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.adain2.1.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain2.1.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.adain2.2.bias | Float32 | dims=[256]
dec.gen.resblocks.4.adain2.2.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.4.alpha1.0 | Float16 | dims=[1,128]
dec.gen.resblocks.4.alpha1.1 | Float16 | dims=[1,128]
dec.gen.resblocks.4.alpha1.2 | Float16 | dims=[1,128]
dec.gen.resblocks.4.alpha2.0 | Float16 | dims=[1,128]
dec.gen.resblocks.4.alpha2.1 | Float16 | dims=[1,128]
dec.gen.resblocks.4.alpha2.2 | Float16 | dims=[1,128]
dec.gen.resblocks.4.convs1.0.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs1.0.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.4.convs1.1.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs1.1.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.4.convs1.2.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs1.2.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.4.convs2.0.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs2.0.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.4.convs2.1.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs2.1.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.4.convs2.2.bias | Float32 | dims=[128]
dec.gen.resblocks.4.convs2.2.weight | Float16 | dims=[7,128,128]
dec.gen.resblocks.5.adain1.0.bias | Float32 | dims=[256]
dec.gen.resblocks.5.adain1.0.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.5.adain1.1.bias | Float32 | dims=[256]
dec.gen.resblocks.5.adain1.1.weight | Q8_0 | dims=[128,256]
dec.gen.resblocks.5.adain1.2.bias | Float32 | dims=[256]
dec.gen.resblocks.5.adain1.2.weight | Q8_0 | dims=[128,256]
